x,y
89636.4783,43182.1417
89637.0105,43181.5717
89637.7318,43181.1908
89638.2935,43180.9061
89639.0591,43180.6325
89639.8168,43180.5552
89640.5268,43180.4725
89641.3907,43180.3725
89642.2896,43180.3514
89643.2189,43180.4377
89644.1439,43180.6141
89645.0459,43180.8635
89645.8998,43181.2355
89646.7334,43181.6413
89647.5614,43182.0659
89648.3873,43182.4968
89649.2118,43182.944
89650.0264,43183.4149
89650.8323,43183.9016
89651.6331,43184.3976
89652.4087,43184.9315
89653.1825,43185.4679
89653.9528,43186.0089
89654.7193,43186.5529
89655.4773,43187.107
89656.239,43187.6575
89657.0052,43188.2
89657.8569,43188.5848
89658.7693,43188.665
89659.6155,43188.3896
89660.3213,43188.0021
89660.8861,43187.4717
89661.377,43186.9431
89661.7698,43186.3527
89662.1447,43185.8856
89662.5501,43185.3637
89663.0338,43184.6412
89663.4203,43184.0662
89663.8675,43183.3076
89664.1934,43182.6201
89664.4204,43181.9825
89664.2907,43181.2063
89664.0409,43180.5754
89663.565,43180.0377
89662.7259,43179.208
89661.8408,43178.5911
89660.3033,43177.619
89659.4796,43177.008
89658.6052,43176.3928
89657.9708,43175.8872
89657.2433,43175.4233
89656.4596,43174.8467
89655.6813,43174.4223
89654.9262,43173.9736
89654.075,43173.615
89653.2394,43173.3538
89652.0025,43172.9962
89651.2387,43172.7074
89650.3028,43172.5535
89648.8093,43172.3361
89647.8008,43172.0768
89646.0428,43171.3091
89645.4589,43170.5425
89644.8155,43169.261
89644.6002,43168.3874
89644.7254,43167.2444
89644.9243,43166.6733
89645.0988,43166.2485
89645.3754,43165.7529
89645.5799,43165.345
89645.7947,43164.9238
89646.0507,43164.5476
89646.4033,43164.1733
89647.2563,43163.4982
89648.0499,43163.0194
89648.9228,43162.6869
89649.7923,43162.3274
89650.6556,43161.9508
89651.5188,43161.5755
89652.8833,43164.9766
89653.9062,43164.5645
89655.0878,43164.2446
89655.9399,43163.8989
89657.1297,43163.3433
89657.8998,43162.9551
89659.3699,43162.8238
89660.2126,43163.6576
89660.4521,43164.5047
89660.1458,43165.1604
89659.391,43165.8863
89659.0692,43166.5817
89658.6559,43167.5912
89658.6024,43168.7477
89658.9419,43169.5865
89659.7037,43170.1248
89660.2621,43170.5582
89662.4456,43171.978
89663.9832,43172.9778
89665.2192,43173.6729
89666.8255,43174.5763
89667.7605,43174.9379
89668.9721,43175.1022
89670.4846,43174.9868
89650.1544,43158.1744
89652.7415,43156.9719
89655.3875,43156.0205
89657.431,43155.529
89659.3758,43155.451
89660.8999,43155.7623
89662.5105,43156.3568
89663.9758,43157.1656
89665.2694,43158.3759
89666.6089,43160.1524
89667.1722,43161.7026
89667.4308,43162.5182
89667.5768,43163.2919
89667.5275,43164.1154
89667.3854,43164.7681
89667.2341,43165.6394
89667.2704,43166.3764
89667.7799,43167.3894
89668.8152,43167.8499
89669.7514,43167.946
89651.5188,43161.5755
89652.4046,43161.1913
89653.3056,43160.8526
89654.2,43160.494
89655.0958,43160.1357
89655.9861,43159.7655
89656.8909,43159.4521
89657.8412,43159.2956
89658.6903,43159.3666
89659.5222,43159.5311
89660.4117,43159.8125
89661.1088,43160.1588
89661.8605,43160.8415
89662.6309,43161.6566
89663.174,43162.4116
89663.348,43163.1909
89663.4805,43163.8135
89663.4624,43164.4595
89663.4869,43165.1625
89663.5665,43166.4306
89663.9198,43167.4033
89664.4477,43168.0688
89665.0768,43168.7052
89665.6211,43169.2346
89666.2494,43169.7816
89666.8513,43170.2591
89667.5184,43170.7598
89668.2363,43171.2443
89669.1575,43171.4478
89670.118,43171.4664
89613.228,43151.8145
89610.1174,43156.728
89609.6751,43157.5681
89609.1719,43158.4288
89608.6178,43160.7543
89608.7082,43163.4473
89609.3983,43165.7638
89610.8274,43167.8585
89611.5567,43168.6561
89613.0761,43169.7506
89614.948,43170.662
89616.8206,43171.1074
89618.6839,43171.0665
89620.6261,43170.8405
89621.8027,43170.434
89622.8698,43169.6271
89623.9906,43168.7676
89619.4241,43155.5519
89616.8091,43159.7327
89616.1222,43160.9913
89616.2023,43161.9083
89616.8087,43162.994
89617.7219,43163.3925
89618.9245,43162.9003
89616.3261,43153.6832
89615.9751,43154.2393
89615.6241,43154.7953
89615.2731,43155.3514
89614.9222,43155.9074
89614.5712,43156.4635
89614.2239,43157.0217
89613.9042,43157.5959
89613.5866,43158.1684
89613.3852,43158.7876
89613.1838,43159.4067
89613.0761,43160.0353
89613.0056,43160.6676
89612.9352,43161.3
89612.9873,43161.9123
89613.0412,43162.5244
89613.1769,43163.1062
89613.3765,43163.6578
89613.5761,43164.2095
89613.8288,43164.7191
89614.1974,43165.1728
89614.6121,43165.6247
89615.0691,43166.0059
89615.579,43166.3694
89616.1343,43166.6404
89616.6944,43166.8978
89617.2667,43167.0406
89617.9103,43167.0942
89618.5508,43167.1027
89619.1903,43167.1063
89619.8085,43166.888
89620.3695,43166.5574
89620.9141,43166.1964
89621.4575,43165.834
89623.9906,43168.7676
89624.661,43167.9154
89625.8452,43166.278
89626.609,43165.0964
89628.198,43162.6579
89630.1101,43159.3518
89631.8708,43156.5609
89632.7446,43154.8708
89634.2035,43151.9188
89635.1363,43150.1666
89636.5526,43147.4433
89637.7706,43145.3369
89639.107,43143.3702
89618.9245,43162.9003
89619.5085,43162.1521
89619.9478,43161.3032
89621.4884,43158.7363
89622.8006,43156.6754
89623.8707,43155.088
89625.1528,43153.0821
89626.0428,43151.6947
89627.2611,43149.6704
89628.3364,43147.9277
89629.2543,43146.3973
89630.0419,43145.1763
89631.3545,43143.2051
89632.0558,43141.8421
89633.2635,43140.0345
89621.4575,43165.834
89622.0396,43165.0913
89622.541,43164.2954
89623.0589,43163.5081
89623.5615,43162.7099
89624.0616,43161.91
89624.5683,43161.1142
89625.0794,43160.3211
89625.5798,43159.5215
89626.0769,43158.7202
89626.5755,43157.9198
89627.0676,43157.1151
89627.5669,43156.3147
89628.0726,43155.5182
89628.5789,43154.722
89629.0729,43153.9187
89629.5316,43153.0948
89629.9876,43152.2695
89630.4409,43151.4431
89630.8959,43150.6177
89631.3492,43149.7913
89631.8125,43148.9697
89632.2804,43148.151
89632.7521,43147.3351
89633.2279,43146.5218
89633.705,43145.7094
89634.194,43144.9033
89634.6469,43144.0759
89635.1305,43143.2671
89635.6579,43142.4847
89636.1853,43141.7024
89639.107,43143.3702
89640.0539,43141.7317
89640.4955,43140.964
89640.9988,43140.2507
89642.0497,43139.5746
89643.3838,43139.6895
89643.9278,43140.0376
89644.243,43140.5118
89633.2635,43140.0345
89634.076,43138.8212
89635.4402,43136.6839
89637.0119,43134.567
89637.682,43133.8187
89638.6194,43133.1028
89639.6575,43132.5327
89640.9818,43132.1948
89642.6935,43132.0076
89644.6201,43132.2912
89646.4288,43132.8356
89648.6004,43134.2552
89649.7512,43135.4102
89650.7166,43136.9982
89651.2648,43138.8675
89636.1853,43141.7024
89636.5376,43141.1585
89636.885,43140.6115
89637.2281,43140.0616
89637.5713,43139.5118
89637.9434,43138.9819
89638.3155,43138.452
89638.7001,43137.9324
89639.1297,43137.4554
89639.6076,43137.0338
89640.1274,43136.6694
89640.6962,43136.422
89641.2735,43136.2192
89641.8854,43136.0742
89642.5049,43136.052
89643.1241,43136.044
89643.7284,43136.1028
89644.3422,43136.2247
89644.9085,43136.5106
89645.4748,43136.7965
89646.012,43137.1183
89646.5111,43137.4898
89646.9134,43137.983
89647.2982,43138.4899
89647.5309,43139.0865
89647.7539,43139.6897
89644.243,43140.5118
89644.4062,43141.7313
89643.5217,43143.4071
89641.0041,43147.3997
89639.2145,43150.2198
89637.7965,43152.4543
89636.1482,43155.1608
89633.6975,43159.0956
89632.1731,43161.4962
89630.0059,43164.9127
89628.6271,43166.9955
89627.6712,43168.5019
89626.7475,43169.8657
89626.2314,43170.7337
89625.2216,43171.7142
89651.2648,43138.8675
89651.4947,43141.2668
89651.299,43142.4608
89650.8192,43143.8134
89649.9152,43145.4173
89649.1198,43146.5621
89648.1431,43148.3168
89647.2313,43149.7982
89646.2195,43151.4535
89645.2248,43153.1926
89643.7834,43155.1736
89642.8271,43156.6122
89641.4988,43158.7578
89640.5454,43160.1753
89639.0668,43162.4467
89637.8795,43164.2705
89636.6784,43166.0978
89634.4376,43169.4958
89633.5603,43170.4467
89633.0506,43171.1076
89632.2352,43172.262
89631.5884,43173.3537
89631.2009,43174.1684
89630.7291,43175.0429
89629.9816,43175.8219
89647.7539,43139.6897
89647.8564,43140.595
89647.8254,43141.4765
89647.6069,43142.3347
89647.2967,43143.1796
89646.9087,43143.998
89646.4539,43144.786
89645.9887,43145.5693
89645.4845,43146.3281
89645.0041,43147.1018
89644.5406,43147.8859
89644.0666,43148.664
89643.5841,43149.437
89643.1025,43150.2106
89642.6213,43150.9844
89642.1499,43151.7641
89641.681,43152.5452
89641.1806,43153.3059
89640.6731,43154.0618
89640.1703,43154.821
89639.6798,43155.5889
89639.1938,43156.3596
89638.7132,43157.1338
89638.2325,43157.9081
89637.7369,43158.6726
89637.242,43159.4377
89636.7514,43160.2055
89636.2582,43160.9718
89635.765,43161.7381
89635.2718,43162.5044
89634.7783,43163.2704
89634.2834,43164.0356
89633.7886,43164.8008
89633.2931,43165.5656
89632.7977,43166.3304
89632.2956,43167.0909
89631.7933,43167.8513
89631.234,43168.567
89630.6953,43169.2991
89630.1825,43170.0519
89629.6754,43170.8086
89629.1904,43171.5795
89628.76,43172.3815
89628.243,43173.121
89627.6016,43173.8359
89625.2216,43171.7142
89624.4204,43172.2514
89623.1116,43172.5858
89622.2369,43172.6977
89621.159,43172.9555
89620.0666,43173.2895
89618.9163,43173.7253
89618.1549,43174.1703
89617.2125,43174.8405
89616.3277,43176.0388
89615.8315,43176.9419
89615.5061,43178.1937
89615.211,43179.6199
89614.9631,43180.8934
89615.1214,43182.0483
89615.2238,43183.075
89615.4236,43184.2022
89615.8862,43185.0883
89616.6346,43186.1062
89618.559,43187.7891
89621.1338,43189.7129
89621.2873,43189.8181
89629.9816,43175.8219
89629.1185,43176.5069
89628.2214,43176.7419
89627.2854,43176.766
89625.8814,43176.7497
89624.4684,43177.2022
89623.2461,43178.4697
89622.9728,43179.1921
89622.9749,43180.3974
89623.5815,43181.9065
89624.2271,43182.3886
89625.0005,43182.8473
89625.5691,43183.2153
89627.6016,43173.8359
89626.9894,43174.2647
89626.3104,43174.5443
89625.5861,43174.7083
89624.8569,43174.8765
89624.1273,43175.0201
89623.4055,43175.1869
89622.6989,43175.3813
89622.0274,43175.644
89621.4,43175.9813
89620.8648,43176.458
89620.3708,43176.9611
89619.9961,43177.545
89619.7059,43178.2097
89619.4303,43178.8779
89619.1601,43179.5471
89619.0682,43180.2672
89619.0698,43181.002
89619.1352,43181.7464
89619.2607,43182.4747
89619.5976,43183.1393
89619.986,43183.7736
89620.4535,43184.3352
89621.0003,43184.8356
89621.5883,43185.2982
89622.2032,43185.7243
89622.8163,43186.1532
89623.4282,43186.5845
89670.4846,43174.9868
89672.1248,43174.7032
89673.3198,43174.2896
89674.6563,43173.7688
89675.5438,43172.8683
89676.0763,43172.0263
89676.8209,43170.8638
89678.3134,43168.6208
89679.5421,43166.7244
89680.0287,43165.8671
89680.5082,43165.0225
89681.2179,43164.2844
89681.8259,43163.652
89682.4867,43163.0481
89683.2816,43162.3216
89684.0022,43161.5253
89684.212,43160.6316
89684.0255,43158.9619
89683.8264,43157.5561
89683.5039,43155.8422
89683.0701,43154.007
89682.8347,43152.2419
89682.2932,43150.9922
89681.8206,43150.0873
89680.9112,43148.7894
89680.0499,43147.6771
89679.0699,43146.9667
89677.4351,43146.0771
89675.9032,43144.9979
89674.0053,43143.8322
89673.444,43143.4224
89672.756,43143.0433
89671.2396,43142.7811
89669.7397,43142.8532
89667.9486,43143.1366
89665.1887,43143.5675
89663.6775,43143.8038
89669.7514,43167.946
89670.6436,43167.6556
89671.2798,43166.8853
89671.6148,43166.3055
89671.7525,43165.6491
89671.9593,43165.0588
89672.5099,43164.0952
89673.3494,43162.9882
89673.9186,43162.0332
89674.7447,43160.797
89675.4283,43159.6614
89675.9499,43158.9632
89676.8708,43157.6753
89677.318,43156.4384
89677.1861,43155.6133
89676.5794,43154.4365
89676.2679,43154.0152
89675.5466,43153.5787
89674.8917,43153.1823
89674.0935,43152.6992
89673.0694,43151.9429
89672.1663,43151.2759
89670.8395,43150.7692
89669.79,43150.4041
89668.7183,43150.1087
89667.5324,43150.2179
89666.2977,43150.4528
89665.3352,43150.6776
89664.4627,43150.9216
89670.118,43171.4664
89670.8728,43171.2952
89671.5925,43171.057
89672.2392,43170.678
89672.8589,43170.2675
89673.3638,43169.7304
89673.7476,43169.0836
89674.1076,43168.4014
89674.5141,43167.7405
89674.9287,43167.0856
89675.3724,43166.4499
89675.815,43165.8136
89676.2386,43165.1649
89676.6513,43164.5087
89677.0464,43163.8464
89677.4444,43163.1866
89677.9361,43162.592
89678.4242,43161.9961
89678.9338,43161.4224
89679.457,43160.8563
89679.9572,43160.2642
89680.2466,43159.5613
89680.3546,43158.8406
89680.4449,43158.1138
89680.4707,43157.36
89680.4771,43156.6092
89680.3598,43155.8482
89680.1716,43155.0992
89679.9398,43154.3663
89679.7461,43153.6278
89679.4558,43152.9322
89679.018,43152.3335
89678.5492,43151.7504
89678.0249,43151.1992
89677.4929,43150.6538
89676.9572,43150.1055
89676.3316,43149.6469
89675.6785,43149.2309
89675.0176,43148.8274
89674.3758,43148.3982
89673.7102,43148.0137
89673.0262,43147.6542
89672.34,43147.3005
89671.6683,43146.9271
89670.952,43146.6479
89670.1933,43146.489
89669.4232,43146.4808
89668.6498,43146.5403
89667.8832,43146.6602
89667.118,43146.7897
89666.3536,43146.9229
89665.5908,43147.0631
89664.8298,43147.2106
89664.0701,43147.3627
89663.6775,43143.8038
89663.1296,43143.8912
89661.7551,43143.9662
89660.6921,43143.5861
89660.0023,43142.8106
89659.7516,43142.2478
89664.4627,43150.9216
89663.4154,43151.1176
89662.4436,43151.275
89661.4996,43151.3004
89660.4017,43151.0475
89659.3241,43150.3921
89657.9082,43149.5466
89656.3941,43148.5535
89655.1571,43147.332
89664.0701,43147.3627
89663.3858,43147.4849
89662.698,43147.5812
89662.004,43147.6143
89661.32,43147.5316
89660.6847,43147.2924
89660.0712,43146.9717
89659.4565,43146.6529
89658.9003,43146.2468
89658.3558,43145.8229
89657.8838,43145.3236
89657.4544,43144.7899
89659.7516,43142.2478
89659.3509,43140.5404
89659.1412,43138.9532
89659.1388,43137.3481
89659.2436,43135.4418
89659.5928,43133.7704
89659.8483,43132.6161
89660.2186,43130.774
89660.3701,43128.8083
89655.1571,43147.332
89654.5099,43146.3878
89654.0865,43145.5133
89653.566,43144.2369
89653.3098,43142.7365
89653.3844,43141.4091
89653.504,43139.2814
89653.5877,43137.7922
89653.6814,43136.1246
89653.7921,43134.1555
89653.8967,43132.294
89653.9564,43131.2322
89657.4544,43144.7899
89657.0879,43143.999
89656.7733,43143.1779
89656.5248,43142.3343
89656.3302,43141.4752
89656.2378,43140.596
89656.2474,43139.711
89656.2923,43138.8256
89656.3416,43137.9402
89656.416,43137.0581
89656.5251,43136.1806
89656.6356,43135.3034
89656.7494,43134.4269
89656.857,43133.5491
89656.9632,43132.671
89657.0471,43131.7898
89657.1052,43130.905
89657.1633,43130.0203
89646.905,43116.9241
89644.8733,43117.4979
89641.9709,43118.1512
89640.2995,43118.6342
89638.758,43118.824
89636.5698,43119.4091
89634.7101,43120.1619
89633.442,43121.0013
89632.1859,43122.15
89631.0758,43123.4905
89647.5372,43124.4318
89646.6225,43124.6077
89644.7728,43125.0822
89641.9357,43125.6526
89639.9908,43126.131
89638.2856,43126.8253
89636.975,43128.0381
89647.2211,43120.678
89646.4403,43120.8705
89645.6616,43121.073
89644.8795,43121.2629
89644.0964,43121.4488
89643.3114,43121.6266
89642.5305,43121.819
89641.7506,43122.0152
89640.9555,43122.1372
89640.166,43122.2884
89639.3866,43122.4891
89638.6097,43122.6978
89637.8496,43122.9568
89637.1034,43123.2546
89636.403,43123.6437
89635.727,43124.0639
89635.1238,43124.5921
89634.5692,43125.1731
89634.0254,43125.7643
89684.4729,43160.9454
89686.2242,43158.5439
89686.7411,43156.7026
89686.5762,43155.0314
89686.3893,43153.1375
89686.2408,43151.6331
89685.6611,43150.0729
89686.9633,43148.1115
89687.8348,43146.9747
89688.9281,43145.2308
89690.0013,43143.5639
89691.5371,43141.1465
89683.6856,43155.6742
89683.2784,43152.6906
89681.2422,43148.3881
89681.8004,43146.7605
89680.4033,43145.6208
89681.6177,43143.4377
89683.7513,43140.3174
89685.5889,43137.3159
89684.0793,43158.3098
89684.3033,43157.4632
89684.5274,43156.6166
89684.7515,43155.77
89684.734,43154.8815
89684.6691,43153.9996
89684.4307,43153.1024
89684.1869,43152.2048
89683.9431,43151.3071
89683.8806,43150.3993
89683.9816,43149.4824
89683.6675,43148.6792
89683.1473,43147.9347
89683.4557,43147.1646
89683.9472,43146.3593
89684.4544,43145.5653
89685.003,43144.7977
89685.5197,43144.0078
89686.0365,43143.2179
89686.5581,43142.4311
89687.0635,43141.6338
89687.5634,43140.833
89688.0632,43140.0321
89688.563,43139.2312
89684.0522,43139.7481
89661.0165,43125.0107
89682.9387,43141.4095
89660.8462,43127.2171
89683.4955,43140.5788
89682.6896,43140.0622
89681.8837,43139.5456
89681.0779,43139.029
89680.272,43138.5124
89679.4661,43137.9958
89678.6603,43137.4792
89677.8544,43136.9626
89677.0486,43136.446
89676.2427,43135.9294
89675.4368,43135.4128
89674.631,43134.8962
89673.8251,43134.3796
89673.0193,43133.863
89672.2134,43133.3464
89671.4075,43132.8297
89670.6017,43132.3131
89669.7958,43131.7965
89668.99,43131.2799
89668.1841,43130.7633
89667.3782,43130.2467
89666.5724,43129.7301
89665.7665,43129.2135
89664.9607,43128.6969
89664.1548,43128.1803
89663.3489,43127.6637
89662.5431,43127.1471
89661.7372,43126.6305
89660.9314,43126.1139
